Rank,Year,Artist,Song1,Chart_Year
154,1956,The 3 Friends,Blanche,1995
155,1965,The Supremes,Stop! In The Name Of Love,1995
156,1960,Elvis Presley With The Jordanaires,It's Now Or Never,1995
157,1964,Martha And The Vandellas,Dancing In The Street,1995
158,1960,Maurice Williams And The Zodiacs,Stay,1995
159,1958,Harvey And The Moonglows,Ten Commandments Of Love,1995
160,1962,The Crystals,He's A Rebel,1995
161,1960,Buddy Holly,True Love Ways,1995
162,1965,Four Tops,I Can't Help Myself,1995
163,1957,The Five Satins,To The Aisle,1995
164,1964,Mary Wells,My Guy,1995
165,1971,Chicago,Beginnings,1995
166,1961,The Corsairs,Smoky Places,1995
167,1958,The Aquatones,She's The One For Me,1995
168,1961,Patsy Cline,Crazy,1995
169,1967,The Turtles,Happy Together,1995
170,1960,The Jesters [doowop],The Wind,1995
171,1962,Jive Five With Eugene Pitt,What Time Is It?,1995
172,1963,The 4 Seasons,Walk Like A Man,1995
173,1957,Connie Francis,Who's Sorry Now,1995
174,1961,Ricky Nelson,Travelin' Man,1995
175,1957,Lee Andrews And The Hearts,Teardrops,1995
176,1961,The Cleftones,Heart And Soul,1995
177,1957,Elvis Presley With The Jordanaires,Loving You,1995
178,1958,The Fascinators,Chapel Bells,1995
179,1964,Petula Clark,Downtown,1995
180,1968,Jay And The Americans,This Magic Moment,1995
181,1957,Sam Cooke,You Send Me,1995
182,1962,The 4 Seasons,Big Girls Don't Cry,1995
183,1969,The Brooklyn Bridge,Blessed Is The Rain,1995
184,1961,Connie Francis,Where The Boys Are,1995
185,1969,Elvis Presley,Memories,1995
186,1962,Shelley Fabares,Johnny Angel,1995
187,1962,Freddy Cannon,Palisades Park,1995
188,1959,Santo And Johnny,Sleep Walk,1995
189,1965,Simon And Garfunkel,The Sounds Of Silence,1995
190,1960,The Drifters,This Magic Moment,1995
191,1964,The Beatles,A Hard Day's Night,1995
192,1958,The Shields,You Cheated,1995
193,1965,Lou Christie,Lightnin' Strikes,1995
194,1961,The Velvets Featuring Virgil Johnson,Tonight (Could Be The Night),1995
195,1963,Lenny Welch,Since I Fell For You,1995
196,1959,The Mystics [New York],Hushabye,1995
197,1959,Dion And The Belmonts,Where Or When,1995
198,1956,Elvis Presley,Blue Suede Shoes,1995
199,1960,Jackie Wilson,Night,1995
200,1964,The Dave Clark Five,Because,1995
151,1960,Safaris,4 Steps To Love,1995
152,1957,Jerry Lee Lewis And His Pumping Piano,You Win Again,1995
153,1965,The Mama's And The Papa's,Somebody Groovy,1995
154,1956,The 3 Friends,Baby I'll Cry,1995
155,1965,The Supremes,I'm In Love Again,1995
156,1960,Elvis Presley With The Jordanaires,A Mess Of Blues,1995
157,1964,Martha And The Vandellas,There He Is (At My Door),1995
158,1960,Maurice Williams And The Zodiacs,Do You Believe,1995
159,1958,Harvey And The Moonglows,Mean Old Blues,1995
160,1962,The Crystals,I Love You Eddie,1995
161,1960,Buddy Holly,That Makes It Tough,1995
162,1965,Four Tops,Sad Souvenirs,1995
163,1957,The Five Satins,Wish I Had My Baby,1995
164,1964,Mary Wells,Oh Little Boy (What Did You Do To Me),1995
165,1971,Chicago,Colour My World,1995
166,1961,The Corsairs,Thinkin' (Maybe She's Changed Her Ways),1995
167,1958,The Aquatones,You,1995
168,1961,Patsy Cline,Who Can I Count On,1995
169,1967,The Turtles,Like The Seasons,1995
170,1960,The Jesters [doowop],Sally Green,1995
171,1962,Jive Five With Eugene Pitt,Beggin' You Please,1995
172,1963,The 4 Seasons,Lucky Ladybug,1995
173,1957,Connie Francis,You Were Only Fooling (While I Was Falling In Love),1995
174,1961,Ricky Nelson,Hello Mary Lou,1995
175,1957,Lee Andrews And The Hearts,The Girl Around The Corner,1995
176,1961,The Cleftones,How Do You Feel,1995
177,1957,Elvis Presley With The Jordanaires,(Let Me Be Your) Teddy Bear,1995
178,1958,The Fascinators,I Wonder Who,1995
179,1964,Petula Clark,You'd Better Love Me,1995
180,1968,Jay And The Americans,Since I Don't Have You,1995
181,1957,Sam Cooke,Summertime,1995
182,1962,The 4 Seasons,Connie-O,1995
183,1969,The Brooklyn Bridge,Welcome Me Love,1995
184,1961,Connie Francis,No One,1995
185,1969,Elvis Presley,Charro,1995
186,1962,Shelley Fabares,Where's It Gonna Get Me?,1995
187,1962,Freddy Cannon,"June, July, And August",1995
188,1959,Santo And Johnny,All Night Diner,1995
189,1965,Simon And Garfunkel,We've Got A Groovey Thing Goin',1995
190,1960,The Drifters,Baltimore,1995
191,1964,The Beatles,I Should Have Known Better,1995
192,1958,The Shields,That's The Way It's Gonna Be,1995
193,1965,Lou Christie,Cryin' In The Streets,1995
194,1961,The Velvets Featuring Virgil Johnson,Spring Fever,1995
195,1963,Lenny Welch,Are You Sincere,1995
196,1959,The Mystics [New York],Adam And Eve,1995
197,1959,Dion And The Belmonts,That's My Desire,1995
198,1956,Elvis Presley,Tutti Frutti,1995
199,1960,Jackie Wilson,Doggin' Around,1995
200,1964,The Dave Clark Five,Theme Without A Name,1995
201,1962,Marcie Blane,Bobby's Girl,1995
202,1969,The Beatles,Something,1995
203,1959,Paul Anka,Put Your Head On My Shoulder,1995
204,1973,Billy Joel,Piano Man,1995
205,1956,The Teen Queens,Eddie My Love,1995
206,1956,The Cleftones,Little Girl Of Mine,1995
207,1965,Jay And The Americans,Some Enchanted Evening,1995
208,1961,The Quotations [New York],Imagination,1995
209,1967,Van Morrison,Brown Eyed Girl,1995
210,1960,Roy Orbison,Only The Lonely (Know The Way I Feel),1995
211,1960,The Passions,I Only Want You,1995
212,1958,Big Bopper,Chantilly Lace,1995
213,1957,The Charts,Deserie,1995
214,1970,Diana Ross,Ain't No Mountain High Enough,1995
215,1968,Otis Redding,(Sittin' On) The Dock Of The Bay,1995
216,1966,The Righteous Brothers,(You're My) Soul And Inspiration,1995
217,1962,Vito And The Salutations,Gloria,1995
218,1971,Rod Stewart,Reason To Believe,1995
219,1977,Heatwave,Always And Forever,1995
220,1955,Chuck Berry And His Combo,Maybellene,1995
221,1954,The Chords [New York],Sh-boom,1995
222,1960,Ben E. King,Spanish Harlem,1995
223,1978,Gloria Gaynor,Substitute,1995
224,1964,The Devotions,Rip Van Winkle,1995
225,1963,Roy Orbison,In Dreams,1995
226,1971,Derek And The Dominos,Layla,1995
227,1963,Beach Boys,Surfin' U.S.A.,1995
228,1966,Frank Sinatra,Strangers In The Night,1995
229,1962,The Contours,Do You Love Me,1995
230,1965,The Beach Boys,"Help Me, Rhonda",1995
231,1958,Elvis Presley,One NightElvis Presley With The Jordanaires,1995
232,1953,The Harp-Tones,A Sunday Kind Of Love,1995
233,1988,The Beach Boys,KokomoLittle Richard,1995
234,1959,The Knockouts,Darling Lorraine,1995
235,1964,The Supremes,Baby Love,1995
236,1965,The Beach Boys,California Girls,1995
237,1970,Carpenters,(They Long To Be) Close To You,1995
238,1957,The Everly Brothers,Wake Up Little Susie,1995
239,1958,The Teddy Bears,"To Know Him, Is To Love Him",1995
240,1964,The Beatles,Twist And Shout,1995
241,1956,The Heartbeats [Doo Wop],A Thousand Miles Away,1995
242,1969,The Archies,"Sugar, Sugar",1995
243,1960,LaVern Baker,Bumble Bee,1995
244,1970,The Partridge Family,I Think I Love You,1995
245,1973,Marvin Gaye,Let's Get It On,1995
246,1966,The Casinos,Then You Can Tell Me Goodbye,1995
247,1963,Dusty Springfield,I Only Want To Be With You,1995
248,1960,The Fendermen,Mule Skinner Blues,1995
249,1960,The Everly Brothers,Cathy's Clown,1995
250,1969,Neil Diamond,Sweet Caroline (Good Times Never Seemed So Good),1995
201,1962,Marcie Blane,A Time To Dream,1995
202,1969,The Beatles,Come Together,1995
203,1959,Paul Anka,Don't Ever Leave Me,1995
204,1973,Billy Joel,You're My Home,1995
205,1956,The Teen Queens,Just Goofed,1995
206,1956,The Cleftones,You're Driving Me Mad,1995
207,1965,Jay And The Americans,Girl,1995
208,1961,The Quotations [New York],Ala-Men-Sy,1995
209,1967,Van Morrison,Goodbye Baby (Baby Goodbye),1995
210,1960,Roy Orbison,Here Comes That Song Again,1995
211,1960,The Passions,This Is My Love,1995
212,1958,Big Bopper,Purple People Eater Meets Witch Doctor,1995
213,1957,The Charts,Zoop,1995
214,1970,Diana Ross,Can't It Wait Until Tomorrow,1995
215,1968,Otis Redding,Sweet Lorene,1995
216,1966,The Righteous Brothers,B Side Blues,1995
217,1962,Vito And The Salutations,Let's Untwist The Twist,1995
218,1971,Rod Stewart,Maggie May,1995
219,1977,Heatwave,Super Soul Sister,1995
220,1955,Chuck Berry And His Combo,Wee Wee Hours,1995
221,1954,The Chords [New York],Little Maiden,1995
222,1960,Ben E. King,First Taste Of Love,1995
223,1978,Gloria Gaynor,I Will Survive,1995
224,1964,The Devotions,(I Love You) For Sentimental Reasons,1995
225,1963,Roy Orbison,Shahdaroba,1995
226,1971,Derek And The Dominos,I Am Yours,1995
227,1963,Beach Boys,Shut Down,1995
228,1966,Frank Sinatra,"Oh, You Crazy Moon",1995
229,1962,The Contours,Move Mr. Man,1995
230,1965,The Beach Boys,"Kiss Me, Baby",1995
231,1958,Elvis Presley,I Got Stung,1995
232,1953,The Harp-Tones,I'll Never Tell,1995
233,1988,The Beach Boys,Tutti Frutti,1995
234,1959,The Knockouts,Riot In Room 3C,1995
235,1964,The Supremes,Ask Any Girl,1995
236,1965,The Beach Boys,Let Him Run Wild,1995
237,1970,Carpenters,I Kept On Loving You,1995
238,1957,The Everly Brothers,Maybe Tomorrow,1995
239,1958,The Teddy Bears,Don't You Worry My Little Pet,1995
240,1964,The Beatles,There's A Place,1995
