Rank,Year,Artist,Song1,Chart_Year
103,1964,The Drifters,Under The Boardwalk,1989
104,1961,The Cleftones,Heart And Soul,1989
105,1959,The Mystics [New York],Hushabye,1989
106,1957,Jerry Lee Lewis And His Pumping Piano,Great Balls Of Fire,1989
107,1963,The Beatles,I Want To Hold Your Hand,1989
108,1963,The Tymes,So Much In Love,1989
109,1956,The Channels,The Closer You Are,1989
110,1957,The Five Satins,To The Aisle,1989
111,1954,The Moonglows,Sincerely,1989
112,1960,The Jesters [doowop],The Wind,1989
113,1956,The Heartbeats [Doo Wop],A Thousand Miles Away,1989
114,1960,The Paradons,Diamonds And Pearls,1989
115,1956,The Cleftones,Little Girl Of Mine,1989
116,1958,Ritchie Valens,Donna,1989
117,1954,The Cadillacs,Gloria,1989
118,1957,Johnny Mathis,Chances Are,1989
119,1966,Percy Sledge,When A Man Loves A Woman,1989
120,1959,The Fireflies,You Were Mine,1989
121,1964,The Beatles,Twist And Shout,1989
122,1967,Lulu,The Boat That I Row,1989
123,1960,Bobby Darin,Beyond The Sea,1989
124,1965,Lou Christie,Lightnin' Strikes,1989
125,1963,The Kingsmen,Louie Louie,1989
126,1964,The Supremes,Baby Love,1989
127,1968,Marvin Gaye,I Heard It Through The Grapevine,1989
128,1972,Elvis Presley,Burning Love,1989
129,1956,Elvis Presley,Hound Dog,1989
130,1959,Bobby Darin,Dream Lover,1989
131,1967,The Doors,Light My Fire,1989
132,1960,Roy Orbison,Only The Lonely (Know The Way I Feel),1989
133,1958,Conway Twitty,It's Only Make Believe,1989
134,1968,Jay And The Americans,This Magic Moment,1989
135,1962,Freddy Cannon,Palisades Park,1989
136,1964,The Beach Boys,I Get Around,1989
137,1970,The Beatles,Let It Be,1989
138,1966,The Beach Boys,Good Vibrations,1989
139,1979,Bob Seger And The Silver Bullet Band,Old Time Rock & RollBob Seger,1989
140,1963,Little Peggy March,I Will Follow Him,1989
141,1962,Little Eva,The Loco-Motion,1989
142,1965,Sonny And Cher,I Got You Babe,1989
143,1958,Jackie Wilson,Lonely Teardrops,1989
144,1968,Richard Harris,Mac Arthur Park,1989
145,1962,The Shirelles,Soldier Boy,1989
146,1960,Rosie And The Originals,Angel Baby,1989
147,1963,Martha And The Vandellas,Heat Wave,1989
148,1965,Simon And Garfunkel,The Sounds Of Silence,1989
149,1961,The Jive Five,My True Story,1989
150,1964,Manfred Mann,Do Wah Diddy Diddy,1989
101,1963,Lesley Gore,Danny,1989
102,1968,Creedence Clearwater Revival,Born On The Bayou,1989
103,1964,The Drifters,I Don't Want To Go On Without You,1989
104,1961,The Cleftones,How Do You Feel,1989
105,1959,The Mystics [New York],Adam And Eve,1989
106,1957,Jerry Lee Lewis And His Pumping Piano,You Win Again,1989
107,1963,The Beatles,I Saw Her Standing There,1989
108,1963,The Tymes,Roscoe James McClain,1989
109,1956,The Channels,Now You Know (I Love You So),1989
110,1957,The Five Satins,Wish I Had My Baby,1989
111,1954,The Moonglows,Tempting,1989
112,1960,The Jesters [doowop],Sally Green,1989
113,1956,The Heartbeats [Doo Wop],Oh Baby Don't,1989
